operation,trial,ok,expected,got,build_eval_time_s,compact_decrypt_time_s,total_time_s,max_row_support,total_output_nnz
add_const,1,True,6,6,0.00022320999960356858,0.0008030040007724892,0.0010262140003760578,4,145
add_const,2,True,1,1,0.00022793599964643363,0.0008299749988509575,0.0010579109984973911,4,136
add_const,3,True,0,0,0.00021026099966547918,0.0007327010007429635,0.0009429620004084427,4,128
add_const,4,True,0,0,0.00021394599934865255,0.0006440600009227637,0.0008580060002714163,3,95
mul,0,True,4,4,0.0004502850006247172,0.0008886010000423994,0.0013388860006671166,7,176
mul,1,True,1,1,0.0004756519992952235,0.0010419380014354829,0.0015175900007307064,7,169
mul,2,True,5,5,0.0005185160007386003,0.0008248270005424274,0.0013433430012810277,6,176
mul,3,True,0,0,0.000434280000263243,0.0010374009998486144,0.0014716810001118574,7,181
mul,4,True,0,0,0.00049666299855744,0.0011178990007465472,0.0016145619993039872,7,182
square,0,True,4,4,0.00029119999999238644,0.0007834160005586455,0.001074616000551032,7,163
square,1,True,2,2,0.00030155399872455746,0.0010509809999348363,0.0013525349986593938,7,188
square,2,True,0,0,0.00033806899955379777,0.0010873749997699633,0.001425443999323761,7,224
square,3,True,2,2,0.0002902590003941441,0.0008274209994851844,0.0011176799998793285,7,151
square,4,True,2,2,0.0003210039994883118,0.0011140940005134325,0.0014350980000017444,7,195
affine,0,True,0,0,0.0005130770005052909,0.0008235249988501891,0.00133660199935548,5,168
affine,1,True,3,3,0.0005127969998284243,0.0006619670002692146,0.001174764000097639,5,154
affine,2,True,2,2,0.0004987660013284767,0.0008755210001254454,0.0013742870014539221,5,168
affine,3,True,4,4,0.0005724650000047404,0.0007158459993661381,0.0012883109993708786,5,156
affine,4,True,2,2,0.0005052150008850731,0.0008634940004412783,0.0013687090013263514,5,163
dot4,0,True,1,1,0.0009892300004139543,0.000912125999093405,0.0019013559995073592,6,184
dot4,1,True,3,3,0.0009753390004334506,0.0008331389999511885,0.001808478000384639,7,196
dot4,2,True,4,4,0.0009667970007285476,0.0009567510005581426,0.0019235480012866901,7,207
dot4,3,True,0,0,0.000995858999885968,0.0010123940010089427,0.0020082530008949107,7,188
dot4,4,True,5,5,0.00107611800012819,0.001075476999176317,0.002151594999304507,7,180
poly2,0,True,5,5,0.0006156580002425471,0.0009494209989497904,0.0015650789991923375,9,220
poly2,1,True,6,6,0.0006178719995659776,0.0009896100000332808,0.0016074819995992584,8,201
poly2,2,True,0,0,0.0007610530010424554,0.001141153999924427,0.0019022070009668823,9,254
poly2,3,True,0,0,0.0006062539996491978,0.0010505800000828458,0.0016568339997320436,8,204
poly2,4,True,5,5,0.0007055509995552711,0.0008500940002704738,0.0015556449998257449,8,250
product4,0,True,0,0,0.0013924139984737849,0.0016161550011020154,0.0030085689995758003,12,353
product4,1,True,2,2,0.0013806170009047491,0.0013552599994000047,0.002735877000304754,11,315
product4,2,True,2,2,0.001231727999766008,0.0013698610000574263,0.0026015889998234343,11,316
product4,3,True,5,5,0.0012698139998974511,0.0015047899996716296,0.0027746039995690808,12,327
product4,4,True,1,1,0.0013533370001823641,0.001648903000386781,0.003002240000569145,12,334
quadratic_form,0,True,3,3,0.001456770000004326,0.0014380510001501534,0.0028948210001544794,9,260
quadratic_form,1,True,0,0,0.0010449319997860584,0.0010299690002284478,0.0020749010000145063,9,238
quadratic_form,2,True,2,2,0.0010776300005090889,0.0010727219996624626,0.0021503520001715515,10,266
quadratic_form,3,True,2,2,0.0011935510010516737,0.0012605100000655511,0.002454061001117225,11,296
quadratic_form,4,True,2,2,0.0010949650004477007,0.0013663259996974375,0.0024612910001451382,9,271
and,0,True,0,0,0.00045017399861535523,0.0009684890010248637,0.001418662999640219,7,191
and,1,True,0,0,0.00036852299854217563,0.0008983660009107552,0.0012668889994529309,5,141
and,2,True,0,0,0.0004476300000533229,0.0009010300000227289,0.0013486600000760518,7,174
and,3,True,0,0,0.0005408479992183857,0.0011118000002170447,0.0016526479994354304,7,181
and,4,True,1,1,0.0004795780005224515,0.0009136179996858118,0.0013931960002082633,7,186
or,0,True,1,1,0.0005624299992632587,0.0009646529997553444,0.001527082999018603,9,212
or,1,True,0,0,0.00046939200001361314,0.0008985259992186911,0.0013679179992323043,7,169
or,2,True,1,1,0.0007326409995584982,0.001242153000930557,0.001974794000489055,9,237
or,3,True,1,1,0.0006379720016411738,0.0011247689999436261,0.0017627410015848,9,236
or,4,True,1,1,0.0005292109999572858,0.0010965180008497555,0.0016257290008070413,8,227
xor,0,True,1,1,0.0007125409993022913,0.0010455629999341909,0.0017581039992364822,9,222
xor,1,True,1,1,0.0006203449993336108,0.0010061749999294989,0.0016265199992631096,9,218
xor,2,True,0,0,0.0006242709987418493,0.0009609980006644037,0.001585268999406253,9,229
xor,3,True,0,0,0.0006809649985370925,0.0010834690001502167,0.0017644339986873092,9,236
xor,4,True,0,0,0.0006021490007697139,0.001133121999373543,0.001735271000143257,8,209
not,0,True,1,1,0.0002147269988199696,0.0005807870002172422,0.0007955139990372118,4,131
not,1,True,0,0,0.00024724500144657213,0.0005198669987294124,0.0007671120001759846,4,135
not,2,True,1,1,0.00020989000040572137,0.000575418998778332,0.0007853089991840534,4,130
